subject_id,rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,gender,age,language,country,sampling,turkcode,status,nb_of_run,responses,question_order,stim_type,length,state_OR_event,branch_first,time_interval,node_selected
1,16775.129999965433,img/inst_1.png,0.0,image-button-response,0,16783,0.0-0.0-0.0,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,,,
1,,img/inst_2R.png,,causal-graph1,1,30108,0.0-0.0-1.0,male,29,English,United States of America,Right,R568084887600gxrw,inactive,,,,,,,,,
1,,"img/inst_3R.png,img/inst_3R.gif",,causal-graph1,2,139781,0.0-0.0-2.0,male,29,English,United States of America,Right,R568084887600gxrw,inactive,1.0,,,,,,,,
1,,img/inst_4R.png,,causal-graph1,3,142755,0.0-0.0-3.0,male,29,English,United States of America,Right,R568084887600gxrw,inactive,,,,,,,,,
1,,"img/inst_5R.png,img/inst_5RB.gif",,causal-graph1,4,330315,0.0-0.0-4.0,male,29,English,United States of America,Right,R568084887600gxrw,inactive,2.0,,,,,,,,
1,8295.280000194907,img/inst_6.png,0.0,image-button-response,5,338613,0.0-0.0-5.0,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,,,
1,19799.49000012129,,,survey-multi-choice,6,358417,0.0-0.0-6.0,male,29,English,United States of America,Right,R568084887600gxrw,,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":"" A GCM is a square marked with a star"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should click on just one detector in each network""}","[0,1,2,3]",,,,,,
1,4013.495000079274,img/inst_8.png,0.0,image-button-response,7,362438,0.0-1.0,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,,,
1,22620.305000105873,"img/chain_R.png,img/chain_RL.gif",,causal-graph1,8,391709,0.0-2.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,Chain,Long,,,,node7
1,23863.119999878112,"img/branch_RE.png,img/branch_RTLE1.gif",,causal-graph1,9,422346,0.0-3.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Long,Event,Top,Short,node12
1,10390.47500002198,"img/branch_RBSS.png,img/branch_RBSS.gif",,causal-graph1,10,442594,0.0-4.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Short,State,Bottom,,node15
1,14482.459999853745,"img/branch_RE.png,img/branch_RTSE3.gif",,causal-graph1,11,464006,0.0-5.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Short,Event,Top,Long,node14
1,30929.864999838173,"img/branch_RE.png,img/branch_RTLE2.gif",,causal-graph1,12,505246,0.0-6.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Long,Event,Top,Medium,node14
1,30747.454999946054,"img/chain_R.png,img/chain_RM.gif",,causal-graph1,13,541167,0.0-7.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,Chain,Medium,,,,node7
1,15376.404999988154,"img/branch_RE.png,img/branch_RBME1.gif",,causal-graph1,14,560736,0.0-8.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Medium,Event,Bottom,Short,node14
1,17772.184999892488,"img/branch_RE.png,img/branch_RTSE1.gif",,causal-graph1,15,584776,0.0-9.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Short,Event,Top,Short,node14
1,19074.565000133593,"img/branch_RE.png,img/branch_RTME2.gif",,causal-graph1,16,606806,0.0-10.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Medium,Event,Top,Medium,node7
1,13810.864999890327,"img/branch_RTLS.png,img/branch_RTLS.gif",,causal-graph1,17,623734,0.0-11.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Long,State,Top,,node7
1,18807.154999813065,"img/branch_RE.png,img/branch_RTLE3.gif",,causal-graph1,18,645926,0.0-12.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Long,Event,Top,Long,node15
1,11859.489999944344,"img/branch_RTMS.png,img/branch_RTMS.gif",,causal-graph1,19,673408,0.0-13.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Medium,State,Top,,node14
1,12609.46499998681,"img/branch_RE.png,img/branch_RTSE2.gif",,causal-graph1,20,723584,0.0-14.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Short,Event,Top,Medium,node7
1,12595.985000021756,"img/chain_R.png,img/chain_RS.gif",,causal-graph1,21,740183,0.0-15.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,Chain,Short,,,,node8
1,171543.4899998363,"img/branch_RE.png,img/branch_RTME3.gif",,causal-graph1,22,915063,0.0-16.0,male,29,English,United States of America,Right,R568084887600gxrw,active,1.0,,,AND_Gate,Medium,Event,Top,Long,node14
1,7366.369999945164,img/inst_9.png,0.0,image-button-response,23,922434,0.0-17.0,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,,,
1,140711.45499986596,,,survey-text,24,1063174,0.0-18.0,male,29,English,United States of America,Right,R568084887600gxrw,,,"{""Q0"":""thankyou""}",,,,,,,
2,14655.784999951718,img/inst_1.png,0.0,image-button-response,0,14661,0.0-0.0-0.0,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,,img/inst_2L.png,,causal-graph1,1,26619,0.0-0.0-1.0,male,33,english,United States of America,Left,R564700337210gxrw,inactive,,,,,,,,,
2,,"img/inst_3L.png,img/inst_3L.gif",,causal-graph1,2,45604,0.0-0.0-2.0,male,33,english,United States of America,Left,R564700337210gxrw,inactive,1.0,,,,,,,,
2,,img/inst_4L.png,,causal-graph1,3,48951,0.0-0.0-3.0,male,33,english,United States of America,Left,R564700337210gxrw,inactive,,,,,,,,,
2,,"img/inst_5L.png,img/inst_5LT.gif",,causal-graph1,4,192110,0.0-0.0-4.0,male,33,english,United States of America,Left,R564700337210gxrw,inactive,2.0,,,,,,,,
2,12397.48500008136,img/inst_6.png,0.0,image-button-response,5,204510,0.0-0.0-5.0,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,66142.79499999247,,,survey-multi-choice,6,270660,0.0-0.0-6.0,male,33,english,United States of America,Left,R564700337210gxrw,,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":""A GCM is a square without any mark"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should click on just one detector in each network""}","[0,1,2,3]",,,,,,
2,2606.8100000265986,img/inst_7.png,0.0,image-button-response,7,273269,0.0-0.0-7.0-0.0,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,2847.4850000347938,img/inst_1.png,0.0,image-button-response,8,276119,0.0-0.1-0.1,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,,img/inst_2L.png,,causal-graph1,9,609539,0.0-0.1-1.1,male,33,english,United States of America,Left,R564700337210gxrw,inactive,,,,,,,,,
2,,"img/inst_3L.png,img/inst_3L.gif",,causal-graph1,10,645472,0.0-0.1-2.1,male,33,english,United States of America,Left,R564700337210gxrw,inactive,1.0,,,,,,,,
2,,img/inst_4L.png,,causal-graph1,11,647372,0.0-0.1-3.1,male,33,english,United States of America,Left,R564700337210gxrw,inactive,,,,,,,,,
2,,"img/inst_5L.png,img/inst_5LT.gif",,causal-graph1,12,731365,0.0-0.1-4.1,male,33,english,United States of America,Left,R564700337210gxrw,inactive,1.0,,,,,,,,
2,1528.1149998772892,img/inst_6.png,0.0,image-button-response,13,732894,0.0-0.1-5.1,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,76762.30499986559,,,survey-multi-choice,14,809663,0.0-0.1-6.1,male,33,english,United States of America,Left,R564700337210gxrw,,,"{""Q0"":"" To find out if the Gauge of Critical Moment (GCM) is activated or not"",""Q1"":"" A GCM is a square marked with a star"",""Q2"":"" A GCM becomes active if at least one of its inputs is active"",""Q3"":"" You should assign a number to every detector in every network""}","[0,1,2,3]",,,,,,
2,3527.345000067726,img/inst_7.png,0.0,image-button-response,15,813193,0.0-0.1-7.1-0.1,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,5958.319999976084,img/inst_1.png,0.0,image-button-response,16,819153,0.0-0.2-0.2,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,,img/inst_2L.png,,causal-graph1,17,821397,0.0-0.2-1.2,male,33,english,United States of America,Left,R564700337210gxrw,inactive,,,,,,,,,
2,,"img/inst_3L.png,img/inst_3L.gif",,causal-graph1,18,875504,0.0-0.2-2.2,male,33,english,United States of America,Left,R564700337210gxrw,inactive,1.0,,,,,,,,
2,,img/inst_4L.png,,causal-graph1,19,918091,0.0-0.2-3.2,male,33,english,United States of America,Left,R564700337210gxrw,inactive,,,,,,,,,
2,,"img/inst_5L.png,img/inst_5LT.gif",,causal-graph1,20,952557,0.0-0.2-4.2,male,33,english,United States of America,Left,R564700337210gxrw,inactive,1.0,,,,,,,,
2,5037.585000041872,img/inst_6.png,0.0,image-button-response,21,957597,0.0-0.2-5.2,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,21331.795000005513,,,survey-multi-choice,22,978931,0.0-0.2-6.2,male,33,english,United States of America,Left,R564700337210gxrw,,,"{""Q0"":"" To find out if the Gauge of Critical Moment (GCM) is activated or not"",""Q1"":"" A GCM is a square marked with a star"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should assign a number to every detector in every network""}","[0,1,2,3]",,,,,,
2,2481.819999869913,img/inst_7.png,0.0,image-button-response,23,981415,0.0-0.2-7.2-0.2,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,1528.2000000588596,img/inst_1.png,0.0,image-button-response,24,982949,0.0-0.3-0.3,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,,,
2,,img/inst_2L.png,,causal-graph1,25,993619,0.0-0.3-1.3,male,33,english,United States of America,Left,R564700337210gxrw,inactive,,,,,,,,,
