subject_id,stimulus,trial_type,time_elapsed,gender,age,language,country,sampling,turkcode,nb_of_run,rt,responses,stim_type,rolled_OR_unrolled,A_branch_loc,A_detectors,state_OR_event,state_branch,root_1st,imdt_2nd,node_selected
1,instruction,causal-graph1,25008,female,35,Turkish,United States of America,Left,R568393397970gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,40025,female,35,Turkish,United States of America,Left,R568393397970gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,76214,female,35,Turkish,United States of America,Left,R568393397970gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph1,100212,female,35,Turkish,United States of America,Left,R568393397970gxrw,,,,,,,,,,,,
1,instruction,causal-graph1,153979,female,35,Turkish,United States of America,Left,R568393397970gxrw,1.0,,,,,,,,,,,
1,instruction,causal-graph1,168998,female,35,Turkish,United States of America,Left,R568393397970gxrw,,,,,,,,,,,,
1,instruction,survey-multi-choice,294778,female,35,Turkish,United States of America,Left,R568393397970gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle or receives input from an active detector"",""Q2"":"" G becomes active if all of its inputs are active""}",,,,,,,,,
1,instruction,causal-graph1,306920,female,35,Turkish,United States of America,Left,R568393397970gxrw,,,,,,,,,,,,
1,UAS_LT,causal-graph1,386904,female,35,Turkish,United States of America,Left,R568393397970gxrw,2.0,64342.0,,AND_Gate,Unrolled,Top,Squares,State,A,,B,nodeB19
1,chainS_L,causal-graph1,429102,female,35,Turkish,United States of America,Left,R568393397970gxrw,1.0,40194.0,,ChainS,,,,,,,,nodeB9
1,UAAS_LB,causal-graph1,459063,female,35,Turkish,United States of America,Left,R568393397970gxrw,1.0,27948.0,,AND_Gate,Unrolled,Bottom,Squares,Event,,A,A,nodeB20
1,UBBS_LB,causal-graph1,494370,female,35,Turkish,United States of America,Left,R568393397970gxrw,2.0,18863.0,,AND_Gate,Unrolled,Bottom,Squares,Event,,B,B,nodeB2
1,UBS_LT,causal-graph1,513288,female,35,Turkish,United States of America,Left,R568393397970gxrw,1.0,15954.0,,AND_Gate,Unrolled,Top,Squares,State,B,,A,nodeA20
1,UBAS_LB,causal-graph1,532059,female,35,Turkish,United States of America,Left,R568393397970gxrw,1.0,17294.0,,AND_Gate,Unrolled,Bottom,Squares,Event,,B,A,nodeA25
1,UABS_LT,causal-graph1,555482,female,35,Turkish,United States of America,Left,R568393397970gxrw,1.0,21221.0,,AND_Gate,Unrolled,Top,Squares,Event,,A,B,nodeB7
1,instruction,causal-graph1,558051,female,35,Turkish,United States of America,Left,R568393397970gxrw,,,,,,,,,,,,
1,comment,survey-text,561375,female,35,Turkish,United States of America,Left,R568393397970gxrw,,3315.0,"{""Q0"":""""}",,,,,,,,,
2,instruction,causal-graph1,11045,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,17027,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,39513,female,31,English,United States of America,Left,R569505437620gxrw,2.0,,,,,,,,,,,
2,instruction,causal-graph1,53108,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,75650,female,31,English,United States of America,Left,R569505437620gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,82891,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,instruction,survey-multi-choice,121943,female,31,English,United States of America,Left,R569505437620gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" G becomes active if all of its inputs are active""}",,,,,,,,,
2,instruction,causal-graph1,125682,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,127057,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,128162,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,132512,female,31,English,United States of America,Left,R569505437620gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,133381,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,instruction,causal-graph1,139073,female,31,English,United States of America,Left,R569505437620gxrw,1.0,,,,,,,,,,,
2,instruction,causal-graph1,140837,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,instruction,survey-multi-choice,173351,female,31,English,United States of America,Left,R569505437620gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle or receives input from an active detector"",""Q2"":"" G becomes active if all of its inputs are active""}",,,,,,,,,
2,instruction,causal-graph1,175122,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,chainS_L,causal-graph1,192921,female,31,English,United States of America,Left,R569505437620gxrw,1.0,16502.939999998518,,ChainS,,,,,,,,nodeB9
2,UAS_LT,causal-graph1,209266,female,31,English,United States of America,Left,R569505437620gxrw,1.0,14628.544999999574,,AND_Gate,Unrolled,Top,Squares,State,A,,B,nodeB7
2,UAAS_LB,causal-graph1,230512,female,31,English,United States of America,Left,R569505437620gxrw,1.0,19263.15500000061,,AND_Gate,Unrolled,Bottom,Squares,Event,,A,A,nodeA7
2,UBAS_LB,causal-graph1,245596,female,31,English,United States of America,Left,R569505437620gxrw,1.0,13752.444999998259,,AND_Gate,Unrolled,Bottom,Squares,Event,,B,A,nodeB4
2,UBBS_LT,causal-graph1,279744,female,31,English,United States of America,Left,R569505437620gxrw,2.0,17673.240000000107,,AND_Gate,Unrolled,Top,Squares,Event,,B,B,nodeA37
2,UABS_LT,causal-graph1,294871,female,31,English,United States of America,Left,R569505437620gxrw,1.0,13511.215000002296,,AND_Gate,Unrolled,Top,Squares,Event,,A,B,nodeB7
2,UBS_LT,causal-graph1,307511,female,31,English,United States of America,Left,R569505437620gxrw,1.0,10898.105000000214,,AND_Gate,Unrolled,Top,Squares,State,B,,A,nodeA20
2,instruction,causal-graph1,309293,female,31,English,United States of America,Left,R569505437620gxrw,,,,,,,,,,,,
2,comment,survey-text,347353,female,31,English,United States of America,Left,R569505437620gxrw,,38041.56999999756,"{""Q0"":""I thought this experiment was very interesting.  Also, the instructions were clear and I had no technical problems.""}",,,,,,,,,
3,instruction,causal-graph1,5119,male,47,english,United States of America,Left,R568774137640gxrw,,,,,,,,,,,,
3,instruction,causal-graph1,6822,male,47,english,United States of America,Left,R568774137640gxrw,,,,,,,,,,,,
3,instruction,causal-graph1,12567,male,47,english,United States of America,Left,R568774137640gxrw,1.0,,,,,,,,,,,
3,instruction,causal-graph1,14695,male,47,english,United States of America,Left,R568774137640gxrw,,,,,,,,,,,,
3,instruction,causal-graph1,22695,male,47,english,United States of America,Left,R568774137640gxrw,1.0,,,,,,,,,,,
3,instruction,causal-graph1,24967,male,47,english,United States of America,Left,R568774137640gxrw,,,,,,,,,,,,
3,instruction,survey-multi-choice,32080,male,47,english,United States of America,Left,R568774137640gxrw,,,"{""Q0"":"" To decide what caused the activation of G"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle or receives input from an active detector"",""Q2"":"" G becomes active if all of its inputs are active""}",,,,,,,,,
3,instruction,causal-graph1,34562,male,47,english,United States of America,Left,R568774137640gxrw,,,,,,,,,,,,
3,UBS_LB,causal-graph1,52695,male,47,english,United States of America,Left,R568774137640gxrw,1.0,15782.000000122936,,AND_Gate,Unrolled,Bottom,Squares,State,B,,A,nodeA11
3,UABS_LB,causal-graph1,71686,male,47,english,United States of America,Left,R568774137640gxrw,1.0,15288.000000175089,,AND_Gate,Unrolled,Bottom,Squares,Event,,A,B,nodeA4
3,UBAS_LB,causal-graph1,88119,male,47,english,United States of America,Left,R568774137640gxrw,1.0,12807.999999728054,,AND_Gate,Unrolled,Bottom,Squares,Event,,B,A,nodeA4
3,UAS_LB,causal-graph1,100847,male,47,english,United States of America,Left,R568774137640gxrw,1.0,9239.999999757856,,AND_Gate,Unrolled,Bottom,Squares,State,A,,B,nodeB2
3,UAAS_LB,causal-graph1,117984,male,47,english,United States of America,Left,R568774137640gxrw,1.0,14194.000000134109,,AND_Gate,Unrolled,Bottom,Squares,Event,,A,A,nodeB3
3,chainS_L,causal-graph1,135166,male,47,english,United States of America,Left,R568774137640gxrw,1.0,13313.000000081956,,ChainS,,,,,,,,nodeB4
3,UBBS_LB,causal-graph1,147006,male,47,english,United States of America,Left,R568774137640gxrw,1.0,9307.000000029802,,AND_Gate,Unrolled,Bottom,Squares,Event,,B,B,nodeA2
3,instruction,causal-graph1,150232,male,47,english,United States of America,Left,R568774137640gxrw,,,,,,,,,,,,
