participantnum,stimulusid,stimulustype,orientation,position,order,response
1,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
1,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,ID
1,UBBS_RTb,dualbranch,right,top,RC_RD_ID,otherC
1,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,ID
1,chainS_Rb,chain,right,,,RC
1,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,ID
1,UBAS_RTb,dualbranch,right,top,RD_RC_ID,otherD
2,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
2,UBS_RTb,dualbranch,left,top,RD_ID_RC,RD
2,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
2,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
2,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RD
2,chainS_Rb,chain,left,,,RC
2,UABS_RTb,dualbranch,left,top,RD_RC_ID,RD
3,chainS_Rb,chain,right,,,RC
3,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
3,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
3,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
3,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
3,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
3,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
4,chainS_Rb,chain,left,,,IC
4,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RC
4,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RD
4,UAS_RTb,dualbranch,left,top,RD_ID_RC,IC
4,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,IC
4,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
4,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
5,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RD
5,UAS_RTb,dualbranch,right,top,RD_ID_RC,RD
5,chainS_Rb,chain,right,,,RC
5,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
5,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
5,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RD
5,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
6,UAAS_RTb,dualbranch,right,top,RC_RD_ID,otherC
6,UABS_RTb,dualbranch,right,top,RD_RC_ID,otherD
6,UBBS_RTb,dualbranch,right,top,RC_RD_ID,otherC
6,UBS_RTb,dualbranch,right,top,RD_ID_RC,GCM
6,chainS_Rb,chain,right,,,RC
6,UBAS_RTb,dualbranch,right,bottom,RD_RC_ID,otherD
6,UAS_RTb,dualbranch,right,top,RD_ID_RC,ID
7,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
7,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
7,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
7,chainS_Rb,chain,left,,,RC
7,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
7,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
7,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,IC
8,UABS_RTb,dualbranch,left,top,RD_RC_ID,RD
8,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RC
8,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
8,chainS_Rb,chain,left,,,RC
8,UAS_RTb,dualbranch,left,top,RD_ID_RC,RD
8,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
8,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
9,chainS_Rb,chain,right,,,RC
9,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
9,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
9,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
9,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
9,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
9,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
10,UBBS_RTb,dualbranch,right,bottom,RC_RD_ID,RC
10,UAS_RTb,dualbranch,right,top,RD_ID_RC,RC
10,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RD
10,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RD
10,UBS_RTb,dualbranch,right,bottom,RD_ID_RC,RD
10,chainS_Rb,chain,right,,,RC
10,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
11,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
11,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
11,UBS_RTb,dualbranch,right,top,RD_ID_RC,RC
11,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
11,chainS_Rb,chain,right,,,RC
11,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RD
11,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
12,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
12,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
12,UBS_RTb,dualbranch,left,top,RD_ID_RC,RD
12,UABS_RTb,dualbranch,left,top,RD_RC_ID,RD
12,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
12,chainS_Rb,chain,left,,,RC
12,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RC
13,chainS_Rb,chain,right,,,RC
13,UAS_RTb,dualbranch,right,top,RD_ID_RC,RC
13,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
13,UAAS_RTb,dualbranch,right,bottom,RC_RD_ID,RD
13,UABS_RTb,dualbranch,right,top,RD_RC_ID,RC
13,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RD
13,UBS_RTb,dualbranch,right,top,RD_ID_RC,RC
14,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
14,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RC
14,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
14,UBBS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
14,chainS_Rb,chain,left,,,RC
14,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
14,UAAS_RTb,dualbranch,left,top,RC_RD_ID,RD
15,UAS_RTb,dualbranch,left,bottom,RD_ID_RC,RC
15,chainS_Rb,chain,left,,,RC
15,UABS_RTb,dualbranch,left,top,RD_RC_ID,RC
15,UBBS_RTb,dualbranch,left,top,RC_RD_ID,RD
15,UAAS_RTb,dualbranch,left,bottom,RC_RD_ID,RD
15,UBS_RTb,dualbranch,left,top,RD_ID_RC,RC
15,UBAS_RTb,dualbranch,left,top,RD_RC_ID,RC
16,UBBS_RTb,dualbranch,right,top,RC_RD_ID,RC
16,UBS_RTb,dualbranch,right,top,RD_ID_RC,RC
16,chainS_Rb,chain,right,,,RC
16,UAAS_RTb,dualbranch,right,top,RC_RD_ID,RC
16,UABS_RTb,dualbranch,right,bottom,RD_RC_ID,RC
16,UAS_RTb,dualbranch,right,bottom,RD_ID_RC,RC
16,UBAS_RTb,dualbranch,right,top,RD_RC_ID,RC
17,UBS_RTb,dualbranch,left,bottom,RD_ID_RC,RD
17,UABS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
17,UBAS_RTb,dualbranch,left,bottom,RD_RC_ID,RD
17,chainS_Rb,chain,left,,,RC
